,seconds_elapsed,longitude,latitude
0,3.70366552734375,25.5161648,65.0713748
1,5.339879150390625,25.5162274,65.071393
2,5.68,25.5162402,65.0713979
3,6.31135107421875,25.5162636,65.0713942
4,7.32392919921875,25.5162667,65.0713958
5,8.329696533203125,25.5162589,65.0713902
6,9.350742919921874,25.5162368,65.0713774
7,10.33677392578125,25.5162124,65.0713657
8,11.325332763671875,25.5161932,65.0713454
9,12.348327392578126,25.5161766,65.0713244
10,12.503,25.5161724,65.0713191
11,13.331826171875,25.5161662,65.0713059
12,14.32043408203125,25.5161606,65.0712894
13,15.330062255859374,25.5161543,65.0712709
14,16.326224365234374,25.5161476,65.0712533
15,17.32655419921875,25.516141,65.0712393
16,17.721,25.5161395,65.0712357
17,18.33463256835937,25.5161303,65.0712264
18,19.324762939453127,25.5161158,65.0712106
19,20.34411572265625,25.5161029,65.0711894
20,21.3319697265625,25.5161023,65.0711831
21,21.886382568359377,25.5161017,65.0711784
22,22.440826171875,25.5160933,65.0711716
23,22.995452392578127,25.5160871,65.0711653
24,23.550017822265627,25.5160808,65.0711597
25,24.104308837890624,25.5160737,65.0711547
26,24.65869116210937,25.5160664,65.0711491
27,25.212798828125,25.516059,65.0711444
28,25.76697607421875,25.5160494,65.0711376
29,26.32685278320313,25.5160389,65.0711309
30,26.87616796875,25.5160264,65.0711221
31,27.430824951171875,25.5160127,65.0710994
32,27.9854208984375,25.5160008,65.0710828
33,28.53980322265625,25.515993,65.0710695
34,29.094124267578124,25.5159845,65.071058
35,29.643014404296878,25.5159758,65.0710471
36,30.166090576171875,25.5159664,65.0710377
37,30.704810302734376,25.5159559,65.0710289
38,31.309409423828125,25.5159438,65.0710199
39,31.867521728515623,25.5159282,65.0710094
40,32.422056640625,25.5159221,65.0710065
41,32.97720190429688,25.51591,65.0709993
42,33.53231665039063,25.5158992,65.0709932
43,34.08703466796875,25.515888,65.0709869
44,34.64156958007813,25.5158789,65.0709814
45,35.19650122070313,25.5158717,65.0709777
46,35.75117651367187,25.5158649,65.0709699
47,36.28660302734375,25.5158654,65.0709665
48,36.806584228515625,25.5158593,65.0709601
49,37.425007568359376,25.5158529,65.0709526
50,37.9699873046875,25.5158442,65.0709453
51,38.52436962890625,25.5158362,65.0709391
52,39.07917919921875,25.5158275,65.0709334
53,39.63533154296875,25.5158193,65.0709279
54,40.19004956054688,25.5158141,65.0709251
55,40.70658862304688,25.5158071,65.0709211
56,41.29950244140625,25.515798,65.0709156
57,41.85417626953125,25.5157886,65.0709095
58,42.40871118164063,25.5157814,65.0709046
59,42.9633681640625,25.5157755,65.0709009
60,43.51768969726562,25.5157644,65.0708928
61,44.0721328125,25.5157591,65.0708892
62,45.180836669921874,25.5157466,65.07088
63,45.73516674804687,25.5157388,65.0708737
64,46.289396484375,25.5157322,65.0708691
65,46.84399243164062,25.5157223,65.0708617
66,47.3963603515625,25.5157148,65.0708559
67,47.90150048828125,25.5157093,65.0708514
68,48.46694189453125,25.5157069,65.0708491
69,49.059416015625,25.5156982,65.0708428
70,49.61456127929687,25.5156909,65.0708369
71,50.16912670898437,25.5156829,65.0708312
72,50.723875,25.5156761,65.0708252
73,51.27830200195312,25.5156709,65.0708214
74,51.83305053710937,25.5156613,65.0708139
75,52.34460083007812,25.5156583,65.0708115
76,52.90150048828125,25.5156501,65.0708053
77,53.505818115234376,25.515643,65.0708002
78,54.06026440429687,25.5156353,65.0707954
79,54.60572509765625,25.5156266,65.0707892
80,55.1604736328125,25.5156201,65.0707848
81,55.71513061523437,25.5156129,65.0707782
82,56.26958984375,25.51561,65.0707758
83,57.350222412109375,25.5156005,65.0707658
84,57.90150048828125,25.5155957,65.0707591
85,58.4884921875,25.515587,65.0707537
86,59.0430576171875,25.5155789,65.0707486
87,59.597775634765625,25.5155726,65.0707436
88,60.152157958984375,25.5155668,65.0707395
89,60.706845458984375,25.5155591,65.0707329
90,61.261501708984376,25.5155547,65.0707298
91,61.8164638671875,25.5155441,65.0707215
92,62.33083325195312,25.5155417,65.0707195
93,62.84830102539063,25.5155344,65.0707141
94,63.36913720703125,25.5155282,65.0707095
95,63.90150048828125,25.5155231,65.0707052
96,64.47805444335937,25.5155156,65.0706992
97,65.03246752929688,25.5155084,65.0706937
98,65.586849609375,25.5155018,65.070688
99,66.14166674804687,25.515497,65.0706839
100,66.695896484375,25.5154882,65.070676
101,67.25049243164062,25.5154843,65.0706727
102,67.8077041015625,25.5154783,65.0706681
103,68.35846411132812,25.5154704,65.0706615
104,68.88464331054688,25.5154626,65.0706551
105,69.42359814453125,25.5154449,65.0706446
106,70.02429614257812,25.5154252,65.0706329
107,70.57913623046875,25.5154082,65.0706231
108,71.1335869140625,25.5153937,65.0706153
109,71.64216357421876,25.5153789,65.0706067
110,72.24259594726563,25.5153607,65.0705967
111,72.79700854492188,25.5153468,65.0705877
112,73.35372680664062,25.5153344,65.0705815
113,73.90150048828124,25.5153161,65.0705714
114,74.46052197265625,25.5153057,65.0705643
115,75.01508740234375,25.5152955,65.0705577
116,75.56968310546876,25.5152827,65.0705496
117,76.12441650390625,25.515268,65.0705398
118,76.67919555664062,25.5152589,65.0705306
119,77.23382202148437,25.5152522,65.0705243
120,77.78860107421875,25.5152432,65.0705153
121,78.32116162109375,25.5152352,65.0705079
122,78.89794555664062,25.5152195,65.0704954
123,79.45278564453125,25.5152094,65.0704868
124,80.00698486328125,25.5151993,65.0704788
125,80.56366479492188,25.5151906,65.0704698
126,81.11630981445313,25.5151772,65.0704582
127,81.67102783203126,25.5151661,65.070449
128,82.22559326171876,25.5151558,65.0704406
129,82.78049438476563,25.5151437,65.0704319
130,83.33521240234376,25.5151304,65.0704229
131,83.8899609375,25.5151119,65.0704107
132,84.444892578125,25.5150997,65.0704021
133,84.99927465820312,25.5150879,65.0703944
134,85.5541455078125,25.5150764,65.0703823
135,86.10868334960938,25.5150705,65.0703751
136,86.66282153320313,25.5150639,65.0703685
137,87.2176005859375,25.5150572,65.0703622
138,87.7725322265625,25.5150452,65.070352
139,88.32706713867188,25.5150399,65.0703476
140,88.8811748046875,25.5150277,65.0703382
141,89.43601489257813,25.5150195,65.0703309
142,89.96053344726562,25.5150105,65.0703234
143,90.54459643554688,25.5149986,65.0703123
144,91.09916186523438,25.514991,65.0703056
145,91.65345556640624,25.5149843,65.0702978
146,92.20799047851564,25.514976,65.0702898
147,92.76267797851564,25.5149668,65.0702781
148,93.317212890625,25.5149631,65.0702726
149,93.871900390625,25.5149561,65.0702624
150,94.42677099609377,25.5149504,65.0702532
151,94.98118408203123,25.5149434,65.0702452
152,95.53611547851564,25.5149283,65.070234
153,96.09058935546877,25.5149178,65.0702268
154,96.64539599609375,25.5149088,65.0702196
155,97.16326025390624,25.5148991,65.0702127
156,97.75464892578124,25.5148846,65.0702009
157,98.30909204101565,25.5148789,65.0701967
158,98.86393212890626,25.5148679,65.070187
159,99.41849780273438,25.5148608,65.0701802
160,99.96433911132812,25.5148388,65.0701748
161,100.52775073242188,25.5148161,65.0701649
162,101.0824990234375,25.5148013,65.0701596
163,101.63692578125,25.5147903,65.0701527
164,102.18537084960936,25.5147789,65.0701466
165,102.74614819335936,25.5147643,65.070135
166,103.3010185546875,25.5147581,65.0701306
167,103.85567553710938,25.5147488,65.0701202
168,104.35655712890625,25.5147468,65.0701134
169,104.9324306640625,25.5147391,65.0701043
170,105.51958544921877,25.5147211,65.0700928
171,106.07415087890624,25.5147096,65.0700864
172,106.62906030273436,25.5147385,65.0700725
173,107.18350366210936,25.5147535,65.0700601
174,107.73800805664062,25.5147605,65.0700432
175,108.2924208984375,25.5147656,65.0700359
176,108.84607080078123,25.5147647,65.0700238
177,109.40094165039062,25.5147646,65.0700148
178,109.90150048828124,25.514762,65.0700059
179,110.51053002929687,25.5147553,65.0699931
180,111.06482104492189,25.5147521,65.0699857
181,111.619197265625,25.5147485,65.0699774
182,112.173548828125,25.5147449,65.0699699
183,112.72829736328126,25.5147416,65.0699616
184,113.28277124023438,25.514737,65.0699522
185,113.83706225585938,25.5147326,65.069941
186,114.39187182617188,25.5147317,65.0699332
187,114.90150048828124,25.5147298,65.0699256
188,115.50091088867188,25.5147281,65.0699176
189,116.05535424804688,25.5147258,65.0699093
190,116.609900390625,25.5147263,65.0699013
191,117.16428271484376,25.5147254,65.0698936
192,117.71863427734375,25.514736,65.0698841
193,118.27332177734375,25.5147405,65.0698755
194,118.82779565429688,25.5147491,65.0698663
195,119.35004174804688,25.5147555,65.0698577
196,119.9074912109375,25.5147575,65.069849
197,120.49106494140624,25.5147591,65.0698364
198,121.0455693359375,25.5147605,65.0698308
199,121.60044750976564,25.5147628,65.0698235
200,122.15516552734375,25.5147619,65.069816
201,122.70976123046874,25.5147623,65.0698071
202,123.26444873046874,25.5147615,65.0698017
203,123.818953125,25.5147592,65.0697919
204,124.34094775390624,25.5147587,65.0697875
205,124.90150048828124,25.5147547,65.0697771
206,125.48359545898435,25.514752,65.0697708
207,126.03828295898435,25.514748,65.0697639
208,126.59317822265623,25.514746,65.0697568
209,127.14737744140623,25.5147437,65.06975
210,127.70221752929687,25.5147443,65.0697434
211,128.25699658203126,25.5147427,65.0697366
212,128.82202319335937,25.5147408,65.0697295
213,129.35147924804687,25.5147386,65.0697227
214,129.90150048828124,25.5147345,65.0697127
215,130.40701733398438,25.5147338,65.0697112
216,130.95744311523438,25.5147298,65.0697041
217,131.46081518554686,25.5147265,65.0696976
218,132.02962280273437,25.5147208,65.069689
219,132.58461572265625,25.5147163,65.0696798
220,133.13918115234375,25.514713,65.0696754
221,133.69374633789062,25.5147093,65.0696663
